ISFJ,,ENTP,ESTP,ENFP
ESFJ,,INTP,INFP,ISTP
INTP,,ESFJ,ESTJ,ENFJ
ENTP,,ISFJ,INFJ,ISTJ
ESTP,,INFJ,ISFJ,INTJ
ISTP,,ENFJ,ENTJ,ESFJ
ENFJ,,ISTP,ISFP,INTP
INFJ,,ESTP,ENTP,ESFP
ESFP,,INTJ,ISTJ,INFJ
ISFP,,ENTJ,ENFJ,ESTJ
ENTJ,,ISFP,ISTP,INFP
INTJ,,ESFP,ENFP,ESTP
ISTJ,,ENFP,ESFP,ENTP
ESTJ,,INFP,INTP,ISFP
INFP,,ESTJ,ESFJ,ENTJ
ENFP,,ISTJ,INTJ,ISFJ
